整理番号,教員氏名,所属,2025年度卒研配属等の特記事項,知能情報工学概論での研究室紹介
1,坂本 比呂志,知能情報工学科,,有
2,佐藤 好久,知能情報工学科,,有
3,宮野 英次,知能情報工学科,,有
4,井 智弘,知能情報工学科,,有
5,大北 剛,知能情報工学科,,有
6,斎藤 寿樹,知能情報工学科,,有
7,下薗 真一,知能情報工学科,,有
8,徳永 旭将,知能情報工学科,,有
9,藤本 晶子,知能情報工学科,,有
10,本田 あおい,知能情報工学科,,有
11,乃美 正哉,知能情報工学科,,有
12,嶋田 和孝,知能情報工学科,,有
13,平田 耕一,知能情報工学科,,有
14,國近 秀信,知能情報工学科,,有
15,中村 貞吾,知能情報工学科,配属なし（退職予定）,有
16,尾下 真樹,知能情報工学科,,有
17,齊藤 剛史,知能情報工学科,,有
18,武村 紀子,知能情報工学科,,有
19,新見 道治,知能情報工学科,,有
,,,,
30,学科外の研究室,学科外,,無
31,馬場 昭好,マイクロ化総合技術センター,,無
32,中村 和之,マイクロ化総合技術センター,,無
33,山田 雅之,教養教育院,,有
35,玉川 雅章,生命体工学研究科,,有
36,安田 隆,生命体工学研究科,,無
37,山田 宏,生命体工学研究科,,無
38,高嶋 一登,生命体工学研究科,,無
39,春山 哲也,生命体工学研究科,,無
40,池野 慎也,生命体工学研究科,,無
41,加藤 珠樹,生命体工学研究科,,無
42,前田 憲成,生命体工学研究科,,無
43,安藤 義人,生命体工学研究科,,有
44,久米村 百子,生命体工学研究科,,無
46,渡邊 晃彦,生命体工学研究科,,無
47,宮崎 敏樹,生命体工学研究科,,無
48,中村 仁,生命体工学研究科,,無
49,高辻 義行,生命体工学研究科,,無
50,本田 英己,生命体工学研究科,,無
51,石井 和男,生命体工学研究科,,無
52,田中 啓文,生命体工学研究科,,無
53,和田 親宗,生命体工学研究科,,有
55,田向 権,生命体工学研究科,,有
56,古川 徹生,生命体工学研究科,,有
57,柴田 智広,生命体工学研究科,,有
58,堀尾 恵ー,生命体工学研究科,,有
59,我妻 広明,生命体工学研究科,,無
60,吉田 香,生命体工学研究科,,有
61,夏目 季代久,生命体工学研究科,,有
62,立野 勝巳,生命体工学研究科,,有
63,大坪 義孝,生命体工学研究科,,無
64,井上 創造,生命体工学研究科,,有
65,安川 真輔,生命体工学研究科,,無
66,池本 周平,生命体工学研究科,,無
67,西田 祐也,生命体工学研究科,,有
68,田中 悠一朗,生命体工学研究科,,有
69,常木 澄人,生命体工学研究科,,有