研究室番号,研究室ラベル,指導教員名,指導教員所属,最大配属人数,知能情報工学概論での研究室紹介
1,01：坂本 比呂志,坂本 比呂志,知能情報工学科,,有
2,02：佐藤 好久,佐藤 好久,知能情報工学科,,有
3,03：宮野 英次,宮野 英次,知能情報工学科,,有
4,04：井 智弘,井 智弘,知能情報工学科,,有
5,05：大北 剛,大北 剛,知能情報工学科,,有
6,06：斎藤 寿樹,斎藤 寿樹,知能情報工学科,,有
7,07：下薗 真一,下薗 真一,知能情報工学科,,有
8,08：徳永 旭将,徳永 旭将,知能情報工学科,,有
9,09：藤本 晶子,藤本 晶子,知能情報工学科,,有
10,10：本田 あおい,本田 あおい,知能情報工学科,,有
11,11：乃美 正哉,乃美 正哉,知能情報工学科,3,有
12,12：嶋田 和孝,嶋田 和孝,知能情報工学科,,有
13,13：平田 耕一,平田 耕一,知能情報工学科,,有
14,14：國近 秀信,國近 秀信,知能情報工学科,,有
15,15：中村 貞吾,中村 貞吾,知能情報工学科,0,有
16,16：尾下 真樹,尾下 真樹,知能情報工学科,,有
17,17：齊藤 剛史,齊藤 剛史,知能情報工学科,,有
18,18：武村 紀子,武村 紀子,知能情報工学科,,有
19,19：新見 道治,新見 道治,知能情報工学科,,有
20,20：新任A,新任Ａ,知能情報工学科,,無
21,21：新任B,新任Ｂ,知能情報工学科,,無
,,,,,
30,30：学科外の研究室,学科外の研究室,学科外,0,無
31,31：馬場 昭好（マイクロ化総合技術センター）,馬場 昭好,マイクロ化総合技術センター,1,無
32,32：中村 和之（マイクロ化総合技術センター）,中村 和之,マイクロ化総合技術センター,1,無
33,33：山田 雅之（教養教育院）,山田 雅之,教養教育院,1,有
35,35：玉川 雅章（生命体工学研究科）,玉川 雅章,生命体工学研究科,1,有
36,36：安田 隆（生命体工学研究科）,安田 隆,生命体工学研究科,1,無
37,37：山田 宏（生命体工学研究科）,山田 宏,生命体工学研究科,1,無
38,38：高嶋 一登（生命体工学研究科）,高嶋 一登,生命体工学研究科,1,無
39,39：春山 哲也（生命体工学研究科）,春山 哲也,生命体工学研究科,1,無
40,40：池野 慎也（生命体工学研究科）,池野 慎也,生命体工学研究科,1,無
41,41：加藤 珠樹（生命体工学研究科）,加藤 珠樹,生命体工学研究科,1,無
42,42：前田 憲成（生命体工学研究科）,前田 憲成,生命体工学研究科,1,無
43,43：安藤 義人（生命体工学研究科）,安藤 義人,生命体工学研究科,1,有
44,44：久米村 百子（生命体工学研究科）,久米村 百子,生命体工学研究科,1,無
46,46：渡邊 晃彦（生命体工学研究科）,渡邊 晃彦,生命体工学研究科,1,無
47,47：宮崎 敏樹（生命体工学研究科）,宮崎 敏樹,生命体工学研究科,1,無
48,48：中村 仁（生命体工学研究科）,中村 仁,生命体工学研究科,1,無
49,49：高辻 義行（生命体工学研究科）,高辻 義行,生命体工学研究科,1,無
50,50：本田 英己（生命体工学研究科）,本田 英己,生命体工学研究科,1,無
51,51：石井 和男（生命体工学研究科）,石井 和男,生命体工学研究科,1,無
52,52：田中 啓文（生命体工学研究科）,田中 啓文,生命体工学研究科,1,無
53,53：和田 親宗（生命体工学研究科）,和田 親宗,生命体工学研究科,1,有
55,55：田向 権（生命体工学研究科）,田向 権,生命体工学研究科,1,有
56,56：古川 徹生（生命体工学研究科）,古川 徹生,生命体工学研究科,1,有
57,57：柴田 智広（生命体工学研究科）,柴田 智広,生命体工学研究科,1,有
58,58：堀尾 恵ー（生命体工学研究科）,堀尾 恵ー,生命体工学研究科,1,有
59,59：我妻 広明（生命体工学研究科）,我妻 広明,生命体工学研究科,1,無
60,60：吉田 香（生命体工学研究科）,吉田 香,生命体工学研究科,1,有
61,61：夏目 季代久（生命体工学研究科）,夏目 季代久,生命体工学研究科,1,有
62,62：立野 勝巳（生命体工学研究科）,立野 勝巳,生命体工学研究科,1,有
63,63：大坪 義孝（生命体工学研究科）,大坪 義孝,生命体工学研究科,1,無
64,64：井上 創造（生命体工学研究科）,井上 創造,生命体工学研究科,1,有
65,65：安川 真輔（生命体工学研究科）,安川 真輔,生命体工学研究科,1,無
66,66：池本 周平（生命体工学研究科）,池本 周平,生命体工学研究科,1,無
67,67：西田 祐也（生命体工学研究科）,西田 祐也,生命体工学研究科,1,有
68,68：田中 悠一朗（生命体工学研究科）,田中 悠一朗,生命体工学研究科,1,有
69,69：常木 澄人（生命体工学研究科）,常木 澄人,生命体工学研究科,1,有