研究室番号, 研究室名, 学科内（0） or 学科外（1）, 固定の定員数
1,坂本 比呂志,0,
2,佐藤 好久,0,
3,宮野 英次,0,
4,井 智弘,0,
5,大北 剛,0,
6,斎藤 寿樹,0,
7,下薗 真一,0,
8,徳永 旭将,0,
9,藤本 晶子,0,
10,本田 あおい,0,
11,乃美 正哉,0,3
12,嶋田 和孝,0,
13,平田 耕一,0,
14,國近 秀信,0,
15,中村 貞吾,0,
16,尾下 真樹,0,
17,齊藤 剛史,0,
18,武村 紀子,0,
19,新見 道治,0,
31,馬場 昭好（マイクロ化総合技術センター）,1,
32,中村 和之（マイクロ化総合技術センター）,1,
33,山田 雅之（教養教育院）,1,
34,大村 一郎（生命体工学研究科）,1,
35,玉川 雅章（生命体工学研究科）,1,
36,安田 隆（生命体工学研究科）,1,
37,山田 宏（生命体工学研究科）,1,
38,高嶋 一登（生命体工学研究科）,1,
39,春山 哲也（生命体工学研究科）,1,
40,池野 慎也（生命体工学研究科）,1,
41,加藤 珠樹（生命体工学研究科）,1,
42,前田 憲成（生命体工学研究科）,1,
43,安藤 義人（生命体工学研究科）,1,
44,久米村 百子（生命体工学研究科）,1,
45,花本 剛士（生命体工学研究科）,1,
46,渡邊 晃彦（生命体工学研究科）,1,
47,宮崎 敏樹（生命体工学研究科）,1,
48,中村 仁（生命体工学研究科）,1,
49,高辻 義行（生命体工学研究科）,1,
50,本田 英己（生命体工学研究科）,1,
51,石井 和男（生命体工学研究科）,1,
52,田中 啓文（生命体工学研究科）,1,
53,和田 親宗（生命体工学研究科）,1,
54,宮本 弘之（生命体工学研究科）,1,
55,田向 権（生命体工学研究科）,1,
56,古川 徹生（生命体工学研究科）,1,
57,柴田 智広（生命体工学研究科）,1,
58,堀尾 恵ー（生命体工学研究科）,1,
59,我妻 広明（生命体工学研究科）,1,
60,吉田 香（生命体工学研究科）,1,
61,夏目 季代久（生命体工学研究科）,1,
62,立野 勝巳（生命体工学研究科）,1,
63,大坪 義孝（生命体工学研究科）,1,
64,井上 創造（生命体工学研究科）,1,
65,安川 真輔（生命体工学研究科）,1,
66,池本 周平（生命体工学研究科）,1,
67,西田 祐也（生命体工学研究科）,1,